a: ä°
hillo: hi°lö
hilloa: hilö°
hillock: hi°l'k
hills: hi°lz
hillside: hi°lsïd
hillsides: hi°lsïdz
hilltop: hi°ltop
hilltops: hi°ltops
hillwalking: hi°lwákëń
hilly: hi°lë
hilt: hi°lt
Hilton: hi°lt'n
Hiltons: hi°lt'nz
hilts: hi°lts
hilum: hï°l'm
Hilversum: hi°lv'rs'm
him: hi°m
Himalaya: him'lä°'
Himalayan: him'lä°'n
Himalayas: him'lä°'s
himation: hima°tëán
Himeji: hë°mejë
Himmler: hi°ml'r
himself: himse°lf
Himyarite: hi°my'rït
Himyaritic: himy'ri°tik
hin: hi°n
Hinayana: hën'yá°n'
Hinayanist: hën'yá°nist
hind: hï°nd
hindbrain: hï°ndbrän
Hindemith: hi°nd'miþ
Hindenburg: hi°nd'nbérg
hinder: hi°nd'r
hindered: hi°nd'rd
hinderer: hi°nd'r'r
hindering: hi°nd'riń
hindermost: hï°nd'rmöst
hinders: hi°nd'rz
hindgut: hï°ndgut
Hindi: hi°ndë
hindmost: hï°ndmöst
Hindoo: hi°ndü
Hindooism: hi°ndüiz'm
Hindostani: hindöstá°në
hindquarter: hï°ndkwórt'r
hindquarters: hï°ndkwórt'rz
hindrance: hi°ndr'ns
hindrances: hi°ndr'nsiz
hinds: hï°ndz
hindsight: hï°ndsït
Hindu: hi°ndü
Hinduism: hi°ndüiz'm
Hindus: hi°ndüz
Hindustan: hi°ndüstan
Hindustani: hindústá°në
hindward: hï°ndw'rd
Hines: hï°nz
hing: hi°ń
hinge: hi°nj
hinged: hi°njd
hinger: hi°nj'r
hinges: hi°njiz
hinny: hi°në
Hinshelwood: hi°nś'lwúd
hint: hi°nt
hinted: hi°nt'd
hinterland: hi°nt'rland
hinterlands: hi°nt'rlandz
hinting: hi°ntiń
Hinton: hi°nt'n
hints: hi°nts
hip: hi°p
hipbone: hi°pbö°n
hipbones: hi°pbö°nz
hiphuggers: hi°phug'rz
hipparch: hi°párk
Hipparchus: hipá°rk's
hippeastrum: hipia°str'm
hipped: hi°pt
hipper: hi°p'r
hippest: hi°p'st
hippiatrics: hipëa°triks
hippie: hi°pë
hippies: hi°pëz
hipping: hi°piń
hippo: hi°pö
hippocampal: hip'ka°mp'l
hippocampus: hipöka°mp's
hippocentaur: hipöse°ntör
hippocras: hi°p'kras
Hippocrates: hi°p'kräts
Hippocratic: hip'kra°tik
Hippocrene: hi°p'krën
hippodrome: hi°p'dröm
hippodromic: hip'dro°mik
hippogriff: hi°p'grif
hippology: hipá°l'jë
Hippolytus: h'po°l't's
Hippomenes: hipá°m'nëz
hippophagist: hipá°f'jist
hippophagous: hipá°f'jës
hippophagy: hipá°f'jë
hippophile: hi°p'fïl
hippopotamian: hip'p'tä°më'n
hippopotamus: hip'po°t'm's
hippopotamuses: hip'po°t'm'siz
hippos: hi°pöz
hippus: hi°p's
hippy: hi°pë
hips: hi°ps
hipshot: hi°pśát
hipster: hi°pst'r
hiragana: hër'gá°n'
Hiram: hï°r'm
hircine: hé°rsïn
hire: hï°'r
hired: hï°'rd
hireling: hï°'rliń
hires: hï°rz
hiring: hï°riń
hirings: hï°rińz
Hirohito: hiröhë°tö
Hiroshige: hëröśë°gä
Hiroshima: hirö°śim'
hirple: hé°rp'l
hirsle: hé°rs'l
hirsute: h'rsü°t
hirsuteness: hé°rsütnes
hirsutism: hé°rsütiz'm
hirudin: hi°ry'din
hirudinean: hirúdi°në'n
hirudinoid: hirü°d'noid
hirundine: hiru°ndin
his: hi°z
Hispania: hispä°në'
Hispanic: hispa°nik
Hispanicise:> Hispanicize
Hispanicism: hispa°nisiz'm
Hispanicize: hispa°nisïz
Hispanics: hispa°niks
hispanidad: ëspánëðá°ð
Hispaniola: hispońö°l'
Hispanism: hi°sp'niz'm
Hispanist: hi°sp'nist
Hispano: hispa°nö
hispid: hi°spid
hispidulous: hispi°j'l's
hiss: hi°s
hissed: hi°st
hisself: hise°lf
hisses: hi°siz
hissing: hi°siń
hist: hi°st
histaminase: hista°m'näs
histamine: hi°st'mën
histaminic: hist'mi°nik
histidin: hi°stidin
histidine: hi°stidën
histie: hi°stë
histiocyte: hi°stë'sït
histiocytic: histë'si°tik
histioid: hi°stëoid
histoblast: hi°st'blast
histochemical: hist'ke°mik'l
histochemically: hist'ke°mik'lë
histochemistry: hist'ke°mistrë
histogen: hi°st'j'n
histogenesis: hist'je°nisis
histogenetic: hist'j'ne°tik
histogenic: hist'je°nik
histogeny: histo°jinë
histogram: hi°st'gram
histograms: hi°st'gramz
histoid: hi°stoid
histological: hist'lo°jik'l
histologically: hist'lo°jik'lë
histologist: histo°l'jist
histology: histo°l'jë
histolysis: histo°lisis
histolytic: hist'li°tik
histone: hi°stön
histopathologic: hist'paþ'lo°jik
histopathology: histöp'þá°l'jë
histophysiological: hist'fizë'lo°jik'l
histophysiology: hist'fizëá°l'jë
histoplasmosis: histöplazmö°sis
historian: histó°rë'n
historians: histó°rë'nz
historiated: histö°rëätid
historic: histó°rik
historical: histó°rik'l
historically: histó°rik'lë
historicism: histo°risiz'm
historicity: hist'ri°sitë
historied: hi°st'rëd
histories: hi°st'rëz
historiographer: histörëá°gr'f'r
historiographic: histörë'gra°fik
historiography: histórëo°gr'fë
history: hi°st'rë
histrionic: histrëo°nik
histrionics: histrëo°niks
histrionism: hi°strë'niz'm
hit: hi°t
Hitachi: hito°ćë
hitch: hi°ć
Hitchcock: hi°ćkok
hitched: hi°ćt
hitches: hi°ćiz
hitchhike: hi°ćhïk
hitchhiked: hi°ćhïkt
hitchhiker: hi°ćhïk'r
hitchhikers: hi°ćhïk'rz
hitchhikes: hi°ćhïks
hitchhiking: hi°ćhïkiń
hitching: hi°ćiń
hitchy: hi°ćë
hither: hi°ð'r
hithermost: hi°ð'rmöst
hitherto: hi°ðértü°
hitherward: hi°ð'rw'rd
Hitler: hi°tl'r
Hitlerism: hi°tl'riz'm
Hitlerite: hi°tl'rït
hits: hi°ts
hitter: hi°t'r
hitters: hi°t'rz
hitting: hi°tiń
Hittite: hi°tït
hive: hï°v
hives: hï°vz
Hmong: hmó°ń
ho: hö°
hoactzin: höa°ktsin
Hoad: hö°d
hoagie: hö°gë
hoar: hó°r
hoard: hó°rd
hoarded: hó°rdid
hoarding: hó°rdiń
hoards: hó°rdz
hoarfrost: hö°rfrost
hoarhound: hö°rhaúnd
hoarse: hó°rs
hoarsely: hö°rslë
hoarsen: hö°rs'n
hoarseness: hö°rsnes
hoarstone: hö°rstön
hoary: hó°rë
hoatzin: höa°tsin
hoax: hö°ks
hoaxes: hö°ksiz
hob: ho°b
Hobart: hö°bort
Hobbema: há°b'm'
Hobbes: ho°bëz
Hobbesian: há°bzë'n
hobbies: ho°bëz
hobbing: ho°biń
Hobbism: há°biz'm
hobbit: há°bit
hobble: ho°b'l
hobblebush: há°b'lbúś
hobbled: ho°b'ld
hobbledehoy: há°b'ldëhoi
hobbler: há°bl'r
hobbles: ho°b'lz
hobbling: ho°b'liń
Hobbs: ho°bz
hobby: ho°bë
hobbyist: ho°bëist
hobbyists: ho°bëists
hobday: ho°bdä
hobgoblin: há°bgáblin
hobnail: ho°bnäl
hobnailed: há°bnäld
hobnob: ho°bnob
hobnobbing: ho°bnobiń
hobo: hö°bö
Hoboken: hö°bök'n
hobs: ho°bz
hoc: ho°k
Hochheimer: há°khïm'r
hock: ho°k
hocker: ho°k'r
hocket: há°kit
hockey: ho°kë
hocking: ho°kiń
Hockney: ho°knë
hockshop: há°kśáp
hocktide: há°ktïd
hocus: hö°k's
hod: há°d
hodden: há°d'n
Hodeida: húdä°dá
Hodge: ho°j
hodgepodge: ho°jpoj
Hodges: ho°jiz
Hodgkin: ho°jkin
hodiernal: hádié°rn'l
hodman: há°dm'n
hodograph: há°d'graf
hodometer: hödo°mit'r
hoe: hö°
hoecake: hö°käk
hoedown: hö°daún
hoeing: hö°iń
Hoenir: hé°nir
hoes: hö°z
Hoff: hó°f
Hoffa: hó°f'
Hoffman: hó°fm'n
Hofmannsthal: ho°fmánstál
Hofstadter: há°fstat'r
Hofuf: húfü°f
hog: ho°g
Hogan: hö°g'n
hogans: hö°gonz
Hogarth: hö°gárþ
hogback: ho°gbak
hogen: ho°g'n
hogfish: ho°gfiś
Hogg: ho°g
hogger: ho°g'r
hoggery: ho°g'rë
hogget: há°git
hoggin: ho°gin
hogging: hó°giń
hoggish: ho°giś
hoggishly: ho°giślë
hoggishness: ho°giśnes
Hogmanay: hágm'nä°
hognose: ho°gnöz
hognut: ho°gnut
hogs: ho°gz
hogshead: ho°gzhed
hogtie: ho°gtï
Hogue: hö°g
hogwash: ho°gwáś
hogweed: ho°gwëd
hoh: hö°
Hohenlinden: hö'nli°nd'n
Hohenlohe: hö'nlö°'
Hohenstaufen: hö'nśtaú°f'n
Hohenzollern: hö°'nzál'rn
hoho: hö°hö°
Hohokam: h'hö°k'm
hoi: hoi°
hoick: hï°k
hoicks: hï°ks
hoiden: hoi°d'n
hoise: hoi°z
hoist: hoi°st
hoisted: hoi°st'd
hoisting: hoi°stiń
hoists: hoi°sts
hoistway: hoi°stwä
hoke: hö°k
hokey: hö°kë
Hokkaido: hökï°dö
hokku: ho°kü
hokum: hö°k'm
Hokusai: hö°kúsï
Holarctic: hálá°rktik
Holbein: hö°lbïn
Holcomb: hö°lk'm
hold: hö°ld
holdall: hö°ldál
holdback: hö°ldbak
Holden: hö°ld'n
holder: hö°ld'r
holders: hö°ld'rz
holdfast: hö°ldfast
holding: hö°ldiń
holdings: hö°ldińz
holdout: hö°ldaút
holdouts: hö°ldaúts
holdover: hö°ldöv'r
holdovers: hö°ldöv'rz
holds: hö°ldz
holdup: hö°ldup
holdups: hö°ldups
hole: hö°l
holed: hö°ld
holeproof: hö°lprüf
holes: hö°lz
holibut: há°l'b't
holiday: ho°lidä
holidayer: há°lidä'r
holidays: ho°l'däz
holier: hö°lë'r
holiest: hö°lëist
holily: hö°l'lë
holiness: hö°lën's
holing: hö°liń
Holinshed: há°linzhed
holism: hö°liz'm
holistic: höli°stik
holla: há°l'
Holland: ho°l'nd
hollandaise: hál'ndä°z
Hollander: ho°l'nd'r
Hollanders: ho°l'nd'rz
Hollandia: h'la°ndëú
Hollands: ho°l'ndz
holler: ho°l'r
hollered: ho°l'rd
hollering: ho°l'riń
hollers: ho°l'rz
Holley: ho°lë
Hollie: ho°lë
hollies: ho°lëz
Hollis: ho°lis
holloa: há°lö
holloo: há°lü
hollow: ho°lö
Holloway: ho°löwä
hollowed: ho°löd
hollowhearted: há°löhá°rtid
hollowing: ho°löiń
hollows: ho°löz
hollowware: há°löwär
holly: ho°lë
hollyhock: ho°lëhok
hollyhocks: ho°lëhoks
Hollywood: ho°lëwúd
Hollywoodish: há°lëwúdiś
holm: hö°m
Holman: ho°lm'n
holme: hö°lm
Holmes: hö°mz
Holmesian: hö°mzë'n
holmic: hö°lmik
holmium: hö°lmë'm
holoblastic: hál'bla°stik
Holocaine: há°l'kän
holocaust: ho°l'kóst
Holocene: há°l'sën
holocrine: há°l'krin
holoenzyme: hálöe°nzïm
Holofernes: hál'fé°rnëz
hologram: ho°l'gram
holograms: ho°l'gramz
holograph: há°l'graf
holographic: hol'gra°fik
holography: h'lo°gr'fë
holohedral: hál'hë°dr'l
holometabolic: hálömet'bá°lik
holometabolous: hál'mita°b'l's
holomorphic: hál'mó°rfik
holophote: há°l'föt
holophrase: há°l'fräz
holophrasis: h'lo°fr'sis
holophrastic: hál'fra°stik
holophyte: há°l'fït
holophytic: hál'fi°tik
holothurian: hál'þú°rë'n
holotype: há°l'tïp
holotypic: hál'ti°pik
holozoic: hál'zö°ik
holp: hö°lp
holpen: hö°lp'n
hols: há°lz
Holst: hö°lst
Holstein: hö°lstën
holster: hö°lst'r
Holt: hö°lt
holts: hö°lts
holy: hö°lë
Holyhead: há°lëhed
holystone: hö°lëstön
holytide: hö°lëtïd
homage: ho°m'j
homager: há°m'j'r
homages: ho°m'j'z
hombre: ho°mbr'
homburg: ho°mb'rg
home: hö°m
homebody: hö°mbádë
homebound: hö°mbaúnd
homeboys: hö°mboiz
homebred: hö°mbre°d
homebuilder: hö°mbild'r
homebuilders: hö°mbild'rz
homebuilding: hö°mbildiń
homebuyer: hö°mbï'r
homebuyers: hö°mbï'rz
homecoming: hö°mkumiń
homed: hö°md
homegrown: hö°mgrö°n
homeland: hö°mland
homelands: hö°mlandz
homeless: hö°ml's
homelessness: hö°mlisnes
homelike: hö°mlïk
homely: hö°mlë
homemade: hö°mmä°d
homemaker: hö°mmäk'r
homemakers: hö°mmäk'rz
homemaking: hö°mmäkiń
homeomorph: hö°më'mórf
homeomorphism: hömë'mó°rfiz'm
homeopath: hö°më'paþ
homeopathic: hömëöpa°þ'k
homeopathist: hömëá°p'þist
homeopathy: hömëöpa°þë
homeostasis: hömëöstä°s's
homeostatic: hömëösta°tik
homeotherm: hö°më'þérm
homeothermal: hömë'þé°rm'l
homeowner: hö°mön'r
homeowners: hö°mön'rz
homeownership: hö°mön'rśip
homeporting: hö°mpó°rtiń
homer: hö°m'r
Homeric: höme°rik
homeroom: hö°mrüm
homers: hö°m'rz
homes: hö°mz
homesick: hö°msik
homesickness: hö°msiknes
homesite: hö°msït
homespun: hö°mspun
homestall: hö°mstál
homestead: hö°msted
homesteaded: hö°mstedid
homesteader: hö°msted'r
homesteaders: hö°msted'rz
homesteads: hö°mstedz
homestretch: hö°mstreć
hometown: hö°mtaún
hometowns: hö°mtaúnz
homeward: hö°mw'rd
homework: hö°mwérk
homeworker: hö°mwérk'r
homeworkers: hö°mwérk'rz
homey: hö°më
homeyness: hö°mënes
homicidal: hom'sï°d'l
homicidally: hámisï°d'lë
homicide: ho°m'sïd
homicides: ho°m'sïdz
homiletic: hom'le°tik
homiletics: hám'le°tiks
homilies: hö°m'lëz
homilist: há°m'list
homily: ho°m'lë
homing: hö°miń
hominian: hömi°në'n
hominid: ho°m'nid
hominine: há°m'nïn
hominoid: há°m'noid
hominy: ho°minë
homme: ho°m
hommes: ho°mz
hommock: há°m'k
homo: hö°mö
homocentric: höm'se°ntrik
homocercal: höm'sé°rk'l
homochromatic: höm'kröma°tik
homochromatism: höm'krö°m'tiz'm
homochromous: höm'krö°m's
homochromy: hö°m'krömë
homocyclic: höm'sï°klik
homodyne: hö°m'dïn
homoeomorph:> homeomorph
homoeomorphism: hömë'mó°rfiz'm
homoeopathist:> homeopathist
homoeostasis:> homeostasis
homoeothermal:> homeothermal
homoerotic: hömöiro°tik
homoeroticism: hömöiro°tisiz'm
homogametic: hömög'më°tik
homogamous: hömo°g'm's
homogamy: hömo°g'më
homogenate: h'mo°jinät
homogeneity: höm'j'në°itë
homogeneous: höm'jë°në's
homogeneously: höm'jë°në'slë
homogeneousness: höm'jë°në'snis
homogenesis: höm'je°nisis
homogenetic: höm'j'ne°tik
homogenisation:> homogenization
homogenise:> homogenize
homogenised:> homogenized
homogenization: hömo°j'nizäś'n
homogenize: hömo°j'nïz
homogenized: hömo°j'nïzd
homogeny: hömo°j'në
homogony: h'mo°g'në
homograft: hö°m'graft
homograph: há°m'graf
homographic: hám'gra°fik
homoiotherm: hömoi°'þérm
homoiothermal: hömoi'þé°rm'l
Homoiousian: hömoiü°së'n
homolecithal: höm'le°s'þ'l
homologate: h'mo°l'gät
homological: höm'lo°jik'l
homologically: höm'lo°jik'lë
homologise:> homologize
homologize: h'mo°l'jïz
homologous: homo°l'g's
homolographic: hömol'gra°fik
homologue: há°m'log
homologumena: hömöl'gü°m'n'
homology: h'mo°l'jë
homomorphic: höm'mó°rfik
homomorphism: höm'mó°rfiz'm
homonym: hó°m'nim
homonymous: h'mo°n'm's
homonymously: h'mo°n'm'slë
homonyms: hó°m'nimz
homonymy: h'mo°n'më
Homoousian: hömöü°së'n
homophobia: höm'fö°bë'
homophobic: höm'fö°bik
homophone: hö°möfön
homophones: hö°möfönz
homophonic: hám'fá°nik
homophonous: h'mo°f'n's
homophony: h'mo°f'në
homoplastic: höm'pla°stik
homoplasy: h'mo°pl'së
homopolar: höm'pö°l'r
homopolarity: höm'pöla°ritë
homopteran: h'mo°pt'r'n
homopterous: h'mo°pt'r's
homorganic: hömórga°nik
homosexual: hömöse°kśuw'l
homosexuality: hömösekśüa°l'të
homosexuals: hömöse°kśü'lz
homosporous: hö°möspé°r's
homospory: h'mo°sp'rë
homotaxial: höm'ta°ksë'l
homotaxis: höm'ta°ksis
homothallic: höm'þa°lik
homothermal: höm'þé°rm'l
homotype: hö°m'tïp
homotypic: höm'ti°pik
homozygosis: höm'zïgö°sis
homozygote: hömözï°göt
homozygous: hömözï°g's
Homs: ho°ms
homunculus: hömu°ńky'l's
Hon: ho°n
Honan: hö°na°n
honcho: hó°nćö
Honda: hó°nd'
hondas: ho°nd's
Hondo: ho°ndö
Honduran: hondú°r'n
Honduranian: hánd'rä°në'n
Hondurans: hondú°r'nz
Honduras: hondú°r's
hone: hö°n
Honecker: hö°nek'r
honed: hö°nd
Honegger: há°n'g'r
honer: hö°n'r
hones: hö°nz
honest: o°n'st
honestly: o°n'stlë
honesty: o°n'stë
honewort: hö°nwért
honey: hu°në
honeybee: hu°nëbë
honeybees: hu°nëbëz
honeybun: hu°nëbun
honeybunch: hu°nëbunć
honeycomb: hu°nëköm
honeycreeper: hu°nëkrëp'r
honeydew: hu°nëdü
honeyed: hu°nëd
honeymoon: hu°nëmün
honeymooned: hu°nëmünd
honeymooner: hu°nëmün'r
honeymooners: hu°nëmün'rz
honeymoons: hu°nëmünz
honeys: hu°nëz
honeysucker: hu°nësuk'r
honeysuckle: hu°nësuk'l
honeysuckles: hu°nësuk'lz
Honeywell: hu°nëwel
hong: hó°ń
Honiara: hünëa°rá
honing: hö°niń
honk: ho°ńk
honking: hó°ńkiń
honky: hó°ńkë
Honolulu: hon'lü°lü
honor: o°n'r
honorable: o°n'r'b'l
honorably: o°n'r'blë
honorand: á°n'rand
honorarium: on're°rë'm
honorariums: on're°rë'mz
honorary: o°n'rerë
honored: o°n'rd
honoree: on'rë°
honorees: on'rë°z
honorific: on'ri°fik
honoring: o°n'riń
honors: o°n'rz
honour:> honor
Honourable:> Honorable
honourably:> honorably
honoured:> honored
honouree:> honoree
honourees:> honorees
honouring:> honoring
honours:> honors
hons: ho°nz
Honshu: ho°nśü
hoo: hü°
hooch: hü°ć
hood: hú°d
hooded: hú°did
hoodie: hú°dë
hoodlum: hú°dl'm
hoodlums: hü°dl'mz
hoodman: hú°dm'n
hoodoo: hü°dü
hoods: hú°dz
hoodwink: hú°dwińk
hoodwinked: hú°dwińkt
hooey: hü°ë
hoof: hü°f
hoofbeat: hú°fbët
hoofbound: hú°fbaúnd
hoofed: hú°ft
hoofer: hú°f'r
hoofprint: hú°fprint
hoofs: hú°fs
Hoogh: hö°k
Hooghly: hö°klë
hook: hú°k
hookah: hú°k'
Hooke: hú°k
hooked: hú°kt
hookedness: hü°kidnis
hooker: hú°k'r
hookers: hú°k'rz
hooking: hú°kiń
hooknose: hú°knöz
hooks: hú°ks
hookup: hú°kup
hookups: hú°kups
hookworm: hú°kw'rm
hookworms: hú°kw'rmz
hooky: hú°kë
hooley: hü°lë
hooligan: hü°lig'n
hooliganism: hü°lig'niz'm
hooligans: hü°lig'nz
hooly: hü°lë
hoon: hü°n
hoop: hü°p
Hooper: hü°p'r
hoopla: hü°plá
hoopoe: hü°pü
hoops: hü°ps
hoopster: hü°pst'r
hooray: húrä°
hoos: hü°z
hoosegow: hü°sgaú
Hoosier: hü°ź'r
Hoosiers: hü°zy'rz
hoot: hü°t
hooted: hü°tid
hootenanny: hü°t'nanë
hooter: hü°t'r
Hooters: hü°t'rz
hoots: hü°ts
hooven: hü°v'n
Hoover: hü°v'r
Hooverville: hü°v'rvil
hooves: hú°vz
hop: ho°p
hope: hö°p
hoped: hö°pt
hopeful: hö°pf'l
hopefully: hö°pf'lë
hopefulness: hö°pf'lnes
hopefuls: hö°pf'lz
Hopeh: hö°pä
hopeless: hö°pl's
hopelessly: hö°pl'slë
hopelessness: hö°plisnes
hopes: hö°ps
Hopewell: hö°pwel
hophead: há°phed
Hopi: hö°pë
hoping: hö°piń
Hopkins: ho°pkinz
hoplite: há°plït
hoplitic: hápli°tik
hopped: ho°pt
hopper: ho°p'r
hoppers: ho°p'rz
hopping: ho°piń
hopple: ho°p'l
hoppy: hó°pë
hops: ho°ps
hopsacking: há°psakiń
hopscotch: ho°pskoć
hopscotched: ho°pskoćt
hoptoad: há°ptöd
hoptree: há°ptrë
hopvine: há°pvïn
hora: hó°r'
Horace: hó°r's
Horacio: hórä°sëö
Horae: hö°rë
horal: hö°r'l
horary: hö°r'rë
Horatian: h'rä°ś'n
Horatio: h'rä°śö
horde: hó°rd
hordein: hó°rdëin
hordeolum: hórdë°'l'm
hordes: hó°rdz
hore:> horae
Horeb: hö°reb
horehound: ho°rhaúnd
horizon: h'rï°z'n
horizonless: h'rï°z'nlis
horizons: h'rï°z'nz
horizontal: hór'zo°nt'l
horizontality: horizánta°litë
horizontally: hórizo°nt'lë
horme: hó°rmë
Hormel: hórme°l
hormonal: hó°rmön'l
hormone: hó°rmön
hormones: hó°rmönz
hormonic: hórmo°nik
Hormuz: hó°rmüz
horn: hó°rn
hornbeak: hó°rnb'k
hornbeam: hó°rnbëm
hornbill: hó°rnbil
hornbills: hó°rnbilz
hornblende: hó°rnblend
Hornblower: hó°rnblö'r
hornbook: hó°rnbúk
Horne: hó°rn
horned: hó°rnd
hornedness: hó°rnidnis
horner: hó°rn'r
hornet: hó°rnit
hornets: hó°rn'ts
Horney: hó°rnë
horning: hó°rniń
hornito: hórnë°tö
hornless: hó°rnl's
hornlike: hó°rnlïk
hornpipe: hó°rnpïp
hornpout: hó°rnpaút
horns: hó°rnz
hornstone: hó°rnstön
hornswoggle: hó°rnswág'l
horntail: hó°rntäl
hornworm: hó°rnwérm
hornwort: hó°rnwért
horny: hó°rnë
horologe: ho°r'löj
horologic: hor'lo°jik
horologist: höro°l'jist
Horologium: hor'lö°jë'm
horology: höro°l'jë
horoscope: hó°r'sköp
horoscopes: hó°r'sköps
horoscopic: hor'sko°pik
horoscopist: höro°sk'pist
horoscopy: höro°sk'pë
horotelic: hor'te°lik
Horowitz: hó°röits
horrendous: hóre°nd's
horrendously: hóre°nd'slë
horrent: ho°r'nt
horrible: hó°r'b'l
horribleness: ho°r'b'lnes
horribly: hó°r'blë
horrid: ho°rid
horridly: ho°ridlë
horridness: ho°ridnes
horrific: hóri°fik
horrified: hó°r'fïd
horrify: hó°r'fï
horrifying: hó°r'fïiń
horripilate: hori°p'lät
horripilation: horip'lä°ś'n
horror: hó°r'r
horrors: hó°r'rz
hors: hó°rz
Horsa: hó°rs'
horse: hó°rs
horseback: hó°rsbak
horsebean: hö°rsbën
horsebox: hö°rsbáks
horsecar: hó°rskár
horsecloth: hó°rskloþ
horsed: hó°rst
horsefeathers: hó°rsfeð'rz
horseflesh: hó°rsfleś
horsefly: hö°rsflï
horsehair: hó°rshär
horsehide: hó°rshïd
horselaugh: hó°rslaf
horseleech: hó°rslëć
horseman: hó°rsm'n
horsemanship: hó°rsm'nśip
horsemen: hó°rsm'n
horsemint: hó°rsmint
horseplay: hó°rsplä
horseplayer: hó°rsplä'r
horsepower: hó°rspaú'r
horsepox: hó°rspáks
horseradish: hó°rsradiś
horses: hó°rs'z
horseshit: hó°rsśit
horseshoe: hó°rsśü
horseshoes: hó°rsśüz
horsetail: hó°rstäl
horsetails: hó°rstälz
horseweed: hó°rswëd
horsewhip: hó°rsẃip
horsewoman: hó°rswúm'n
horsey: hó°rsë
horsily: hó°rs'lë
horsing: hó°rsiń
horst: hó°rst
Horta: hó°rt'
hortation: hörtä°ś'n
hortative: hó°rt'tiv
hortatively: hó°rt'tivlë
hortatory: hó°rt'törë
Hortense: hó°rtens
Horthy: hó°rtë
horticultural: hórt'ku°lć'r'l
horticulture: hó°rtikulć'r
horticulturist: hórtiku°lć'rist
Horton: hó°rt'n
Horus: hó°r's
hosanna: höza°n'
hose: hö°z
Hosea: hösë°'
hosed: hö°zd
hosel: hö°z'l
hoses: hö°ziz
hosey: hö°zë
hosier: hö°ź'r
hosiery: hö°ź'rë
hosing: hö°ziń
hospice: ho°sp's
hospices: ho°sp'siz
hospitable: ho°spi°t'b'l
hospitableness: há°spit'b'lnes
hospital: ho°spit'l
Hospitaler: há°spit'l'r
Hospitalet: ospëtále°t
hospitalisation:> hospitalization
hospitalisations:> hospitalizations
hospitalise:> hospitalize
hospitalised:> hospitalized
hospitality: háspita°litë
hospitalization: hospit'l'zä°ś'n
hospitalizations: hospit'l'zä°ś'nz
hospitalize: hó°spit'lïz
hospitalized: ho°spit'lïzd
Hospitaller: há°spit'l'r
hospitals: ho°spit'lz
hospitia: háspi°śë'
hospitium: háspi°śë'm
hospodar: há°sp'dár
hoss: ho°s
host: hö°st
hosta: há°st'
hostage: ho°stij
hostages: ho°st'j'z
hosted: hö°stid
hostel: ho°st'l
hosteler: há°st'l'r
hostelry: há°st'lrë
hostels: ho°st'lz
hostess: hö°st's
hostesses: hö°st's'z
hostile: hostï°l
hostilely: há°st'lë
hostilities: hosti°l'tëz
hostility: hosti°l'të
hosting: hö°stiń
hostler: ho°sl'r
hostly: hö°stlë
hosts: hö°sts
hot: ho°t
hotbed: ho°tbed
hotbeds: ho°tbedz
hotbox: há°tbáks
hotcake: ho°tkäk
hotcakes: ho°tkäks
hotch: há°ć
hotchpot: há°ćpát
hote: hö°t
hotel: höte°l
hotelier: höte°ly'r
hoteliers: höte°ly'rz
hotelkeeper: höte°lkëp'r
hotelman: höte°lm'n
hotels: höte°lz
hoten: hö°t'n
hotfoot: há°tfút
hothead: há°thed
hotheaded: há°the°did
hotheadedly: há°the°didlë
hotheadedness: há°the°didnes
hothouse: ho°thaús
hothouses: ho°thaúsiz
Hotien: hö°tye°n
hotly: ho°tlë
hotplate: há°tplät
hotpot: há°tpát
hots: ho°ts
hotshot: ho°śot
hotshots: ho°śots
hotspur: há°tspér
Hottentot: há°t'ntot
hotter: ho°t'r
hottest: ho°t'st
hottie: há°të
houdah: haú°d'
Houdan: hü°dan
Houdini: hüdë°në
Houdon: üdo°ń
hough: hu°f
houghs: haú°z
hound: haú°nd
hounded: haú°ndid
houndfish: haú°ndfiś
hounding: haú°ndiń
hounds: haú°ndz
houppelande: hü°plánd
hour: aú°r
hourglass: aú°rglas
hourglasses: aú°'rglasiz
houri: hú°rë
hourlong: aú°rlóń
hourly: aú°rlë
hours: aú°rz
house/n: haú°s; v: haú°z
houseboat: haú°sböt
houseboats: haú°sböts
housebote: haú°sböt
housebound: haú°sbaúnd
houseboy: haú°sboi
housebreak: haú°sbräk
housebreaker: haú°sbräk'r
housebreaking: haú°sbräkëń
housebroken: haú°sbrök'n
housecarl: haú°skárl
houseclean: haú°sklën
housecleaning: haú°sklëniń
housecoat: haú°sköt
housecraft: haú°skraft
housed: haú°zd
housedress: haú°sdres
housefather: haú°sfáð'r
housefly: haú°sflï
houseful: haú°sfúl
houseguest: haú°sgest
houseguests: haú°sgests
household: haú°shöld
householder: haú°shöld'r
householders: haú°shöld'rz
households: haú°shöldz
housekeep: haú°skëp
housekeeper: haú°skëp'r
housekeepers: haú°skëp'rz
housekeeping: haú°skëpiń
housel: haú°s'l
houseleek: haú°slëk
houseless: haú°slis
houselessness: haú°slisnes
houselights: haú°slïts
houseline: haú°slïn
housemaid: haú°smäd
houseman: haú°sman
housemaster: haú°smast'r
housemother: haú°smuð'r
houseparent: haú°spär'nt
houser: haú°z'r
houseroom: haú°srüm
houses: haú°s'z
housetop: haú°stop
housewares: haú°swärz
housewarming: haú°swormiń
housewife: haú°swïf
housewifely: haú°swïflë
housewifery: haú°swïf'rë
housewives: haú°swïvz
housework: haú°swérk
