Traditional,POS,Redirect,Lytspel
Ivorian,,,Y'voarian
Ivorians,,,Y'voarians
ivory,,,yveri
ivy,,,yvi
iwis,,,iwees
Iwo,,,Ywo
ixia,,,ixia
Ixion,,,Iction
ixodid,,,yxedid
ixtle,,,ixtl
Iyar,,,Iyar
Iyeyasu,,,Iyai'aassu
Izanagi,,,Isa'naagi
Izanami,,,Isa'naami
izard,,,iserd
izba,,,izba
Izhevsk,,,Izhevsk
Izmir,,,Izmeer
Izod,,,Ysod
Iztaccihuatl,,,Iztaxihiuatl
Izvestia,,,Iz'vestia
izzard,,,iserd
ja,,,yaa
jab,,,jab
Jabalpur,,,Jabalpoor
jabbed,,,jabd
jabber,,,jaber
jabberwock,,,jaberwok
jabberwocky,,,jaberwoki
jabbing,,,jabing
jabiru,,,jaberu
jaborandi,,,jabe'randi
jabot,,,jabot
jabs,,,jabs
jacal,,,jacl
jacamar,,,jacamer
jacana,,,ja'caana
jacaranda,,,jake'randa
jacinth,,,jacinth
jacinthe,,,jacinth
jack,,,jak
jackal,,,jacl
jackanapes,,,jacanaips
jackaroo,,,jakeru
jackass,,,jacass
jackboot,,,jacbuut
jackdaw,,,jacdaw
jacked,,,jact
jackeroo,,,jakeru
jacket,,,jakit
jacketed,,,jakited
jackets,,,jakits
jackfish,,,jacfish
jackfruit,,,jacfruut
jackhammer,,,jachamer
jackhammers,,,jachamers
Jackie,,,Jaki
jacking,,,jaking
jackknife,,,jacnyf
jackleg,,,jacleg
jacklight,,,jaclyt
jacklighter,,,jaclyter
jackman,,,jacmen
jackpot,,,jacpot
jackpots,,,jacpots
jackrabbit,,,jacrabit
jacks,,,jax
jackscrew,,,jaxcru
jackshaft,,,jacshaft
jacksmelt,,,jaxmelt
jacksnipe,,,jaxnyp
Jackson,,,Jaxen
Jacksonian,,,Ja'xoanian
Jacksonians,,,Ja'xoanians
Jacksonville,,,Jaxenvil
jackstay,,,jaxtay
jackstone,,,jaxtoan
jackstraw,,,jaxtraw
jacky,,,jaki
Jaclyn,,,Jaclin
Jacob,,,Jaikeb
jacobaean,,jacobean
Jacobean,,,Jaco'bian
Jacobi,,,Ja'coabi
Jacobian,,,Ja'coabian
jacobin,,,jakebin
Jacobinise,,Jacobinize
Jacobinism,,,Jakebinism
Jacobinize,,,Jakebinys
Jacobite,,,Jakebyt
Jacobites,,,Jakebyts
Jacobitism,,,Jakebitism
Jacobs,,,Jaikebs
Jacobsen,,,Jacobsen
Jacobson,,,Jacobsen
jacobus,,,jacobuss
jaconet,,,jakenet
jacquard,,,jacard
Jacqueline,,,Jakelin
Jacquelyn,,,Jaquilin
jacquerie,,,jakeri
Jacques,,,Jak
jactation,,,jac'taition
jactitation,,,jacti'taition
jaculate,,,jakyulait
jaculatory,,,jakyuletoari
jacuzzi,,,ja'cuusi
jade,,,jaid
jaded,,,jaided
jadedly,,,jaididli
jadedness,,,jaidedness
jadeite,,,jaidyt
jades,,,jaids
Jadotville,,,Jadetvil
jaeger,,,jeger
jaegers,,,jegers
Jael,,,Jail
Jaffa,,,Jafa
Jaffna,,,Jafna
jag,,,jag
Jagannath,,,Jaganath
Jagannatha,,,Jaga'natha
Jagatai,,,Jagaty
jager,,,jaiger
jagged,,,jaged
jaggedly,,,jagidli
jaggedness,,,jagedness
jagger,,,jager
jaggers,,,jagers
jaggery,,,jageri
jaggy,,,jagi
jags,,,jags
jaguar,,,jagwar
jaguars,,,jagwars
jaguarundi,,,jage'rundi
Jahangir,,,Jahanggeer
Jahveh,,,Yaaveh
jail,,,jail
jailbait,,,jailbait
jailbird,,,jailburd
jailbreak,,,jailbraik
jailed,,,jaild
jailer,,,jailer
jailers,,,jailers
jailhouse,,,jailhouss
jailing,,,jailing
jails,,,jails
Jaime,,,Jaim
Jain,,,Jain
Jaina,,,Jaina
Jainism,,,Jainism
Jaipur,,,Jypur
jak,,,jak
Jakarta,,,Ja'carta
jake,,,jaik
jakes,,,jaix
jalap,,,jalap
Jalapa,,,Ja'laapa
jalapeno,,,jala'peeno
jalapic,,,ja'lapic
jalapin,,,jalapin
Jalisco,,,Ja'lisco
jalopy,,,ja'lopi
jalousie,,,jalouci
jam,,,jam
Jamaica,,,Ja'maica
Jamaican,,,Ja'maiken
Jamaicans,,,Ja'maikens
Jamal,,,Ja'mol
Jamar,,,Jamer
jamb,,,jam
jambalaya,,,jambalaya
jambeau,,,jambo
jambiya,,,jambiya
jamboree,,,jambe'ree
jambos,,,jamboas
james,,,jaims
Jamesian,,,Jaimzian
Jameson,,,Jaimsen
Jamestown,,,Jaimztoun
Jami,,,Jaami
Jamie,,,Jaimi
jamjar,,,jamjar
jammed,,,jamd
jammer,,,jamer
jammers,,,jamers
jamming,,,jaming
jammy,,,jami
jams,,,jams
Jamshedpur,,,Jamshidpoor
Jamshid,,,Jamshid
Jan,,,Jan
Jana,,,Jana
Janacek,,,Janaicek
jane,,,jain
Janelle,,,Jainel
janes,,,jains
Janet,,,Janet
Janette,,,Ja'net
jangle,,,janggl
jangled,,,janggeld
Janice,,,Janiss
Janiculum,,,Ja'nikyulum
Janie,,,Jani
janiform,,,janiform
Janina,,,Janina
Janine,,,Ja'neen
Janis,,,Janiss
janisary,,janizary
janissary,,,janiceri
janitor,,,janiter
janitorial,,,jani'toarial
janitors,,,janiters
janitress,,,janytress
janizarian,,,jani'sairian
janizary,,,janiseri
jann,,,jan
Janna,,,Jana
jannock,,,janek
Jansen,,,Jansen
Jansenism,,,Jansinism
Jansenist,,,Jansenist
Jansenists,,,Jansenists
jansky,,,janski
January,,,Janiueri
Janus,,,Januss
jap,,,jap
japan,,,ja'pan
Japanese,,,Japa'nees
Japanesque,,,Japa'nesk
japans,,,ja'pans
jape,,,jaip
Japheth,,,Jafeth
Japhetic,,,Ja'fetic
japonica,,,ja'ponica
Japonism,,,Japenism
japs,,,japs
Japura,,,Ja'piura
jar,,,jar
jardiniere,,,jardi'neer
Jared,,,Jarred
jargon,,,jargen
jargonelle,,,jargenel
jargonise,,jargonize
jargonize,,,jargenys
jargoon,,,jar'guun
jarl,,,jarl
jarless,,,jarless
jarosite,,,jarrecyt
jarovize,,,yarevys
jarrah,,,jarra
jarred,,,jard
Jarrett,,,Jarrit
jarring,,,jaring
Jarrod,,,Jarrod
Jarrow,,,Jarro
Jarry,,,Jarri
jars,,,jars
jarvey,,,jarvay
jarvie,,,jarvi
Jarvis,,,Jarviss
Jas,,,Jass
jasey,,,jaici
jasmin,,,jazmin
jasmine,,,jazmin
Jason,,,Jaicen
jaspe,,,jasp
jasper,,,jasper
jaspers,,,jaspers
jaspery,,,jasperi
jass,,,jass
Jassy,,,Jaci
Jat,,,Jat
jataka,,,jaateca
jato,,,jaato
jauk,,,jauk
jaundice,,,jaundiss
jaundiced,,,jaundist
jaunt,,,jaunt
jauntily,,,jauntili
jaunts,,,jaunts
jaunty,,,jaunti
jaup,,,jaup
java,,,jaava
Javanese,,,Java'nees
JavaScript,,,jovescript
javelin,,,javlin
Javier,,,Jaivier
jaw,,,jaw
jawan,,,jawen
jawbone,,,jauboan
jawboning,,,jaubening
jawbreaker,,,jaubraiker
jawed,,,jaud
jawlike,,,jaulyk
jaws,,,jaus
Jaxartes,,,Jaxarts
jay,,,jay
jaybird,,,jaiburd
Jaycee,,,Jai'cee
Jaycees,,,Jaicees
jayhawker,,,jaihauker
Jayne,,,Jain
jays,,,jais
Jayson,,,Jaisen
jayvee,,,jai'vee
jaywalk,,,jaiwauk
jaywalking,,,jaiwauking
jazz,,,jas
jazzed,,,jazd
jazzman,,,jazman
jazzmen,,,jazmen
jazzy,,,jasi
jealous,,,jeluss
jealousies,,,jelucees
jealously,,,jelusli
jealousness,,,jelusness
jealousy,,,jeluci
jean,,,jeen
jeanette,,,je'net
Jeanie,,,Jeeni
Jeanine,,,Jeenyn
Jeanne,,,Jeen
Jeannette,,,Je'net
Jeannie,,,Jeeni
jeans,,,jeens
jebel,,,jebl
Jed,,,Jed
jee,,,jee
jeep,,,jeep
jeepers,,,jeepers
jeepney,,,jeepni
jeeps,,,jeeps
jeer,,,jeer
jeered,,,jeerd
jeering,,,jeering
jeers,,,jeers
jees,,,jees
jeez,,,jees
jefe,,,jeef
jeff,,,jef
Jefferey,,,Jeferi
Jefferson,,,Jefersen
Jeffersonian,,,Jefer'soanian
Jeffersonians,,,Jefer'soanians
Jeffery,,,Jeferi
Jeffrey,,,Jefri
Jeffreys,,,Jefrees
Jeffry,,,Jefri
jeffs,,,jefs
Jehol,,,Jehol
Jehoshaphat,,,Jeheshafat
Jehovah,,,Je'hoava
Jehovic,,,Je'hovic
Jehovist,,,Jehevist
Jehovistic,,,Jeho'vistic
jehu,,,jehu
jejune,,,jejiun
jejunely,,,jejiunli
jejuneness,,,jejiunness
jejunity,,,je'juuniti
jejunostomy,,,jejuu'nostemi
jejunum,,,jejuunum
Jekyll,,,Jekil
jelab,,,jelab
jell,,,jel
jellaba,,,je'laaba
jelled,,,jeld
Jellicoe,,,Jelico
jellied,,,jelid
jellies,,,jelis
jellify,,,jelify
jello,,,jelo
jelly,,,jeli
jellybean,,,jelibeen
jellyfish,,,jelifish
jemadar,,,jemader
Jemappes,,,Jemaps
jemima,,,jemima
jemmy,,,jemi
Jena,,,Jeena
Jenkins,,,Jenkins
Jenna,,,Jena
Jenner,,,Jener
jennet,,,jenit
Jennie,,,Jeni
Jennifer,,,Jenifer
Jennings,,,Jenings
jenny,,,jeni
Jensen,,,Jensen
jeopardise,,jeopardize
jeopardised,,jeopardized
jeopardises,,jeopardizes
jeopardising,,jeopardizing
jeopardize,,,jeperdys
jeopardized,,,jeperdyzd
jeopardizes,,,jeperdysis
jeopardizing,,,jeperdysing
jeopardous,,,je'parduss
jeopardously,,,je'pardusli
jeopardy,,,jeperdi
Jephthah,,,Jeftha
jequirity,,,je'quiriti
Jer,,,Jur
Jerald,,,Jaireld
Jerba,,,Jurba
jerboa,,,jer'boa
jerboas,,,jer'boes
jereed,,,jerreed
jeremiad,,,jerremiad
Jeremiah,,,Jerre'maia
Jeremianic,,,Jerremi'anic
Jeremy,,,Jerremi
Jerez,,,Jerres
Jeri,,,Jerri
Jericho,,,Jerrico
jerid,,,jerrid
jerk,,,jurk
jerked,,,jurct
jerkin,,,jurkin
jerking,,,jurking
jerkinhead,,,jurkinhed
jerkins,,,jurkins
jerks,,,jurx
jerkwater,,,jurquoter
jerky,,,jurki
Jermaine,,,Jurmain
jeroboam,,,jerro'boem
Jerold,,,Jerroald
Jerome,,,Jerroam
jerreed,,,jerreed
Jerri,,,Jerri
Jerrold,,,Jerreld
jerry,,,jerri
jerrycan,,,jerreecan
jersey,,,jursi
Jerseyite,,,Jurziyt
jerseys,,,jursis
Jerusalem,,,Je'ruucelem
Jes,,Joes
Jespersen,,,Jespersen
jess,,,jess
jessant,,,jecent
jesse,,,jeci
Jesselton,,,Jecelten
Jessica,,,Jecica
jessie,,,jeci
jest,,,jest
jestbook,,,jestbook
jester,,,jester
jesters,,,jesters
jesting,,,jesting
jestingly,,,jestingli
jests,,,jests
Jesu,,,Jessu
jesuit,,,jesiuit
Jesuitise,,Jesuitize
jesuitism,,,jesiuitism
Jesuitize,,,Jesiuitys
jesuits,,,jesiuits
Jesus,,,Jeesuss
jet,,,jet
jete,,,jeet
Jethro,,,Jethro
jetliner,,,jetlyner
jetliners,,,jetlyners
jetport,,,jetpoart
jets,,,jets
jetsam,,,jetsem
jetstream,,,jetstreem
jetstreams,,,jetstreems
jetted,,,jeted
jetting,,,jeting
jettison,,,jeticen
jettisoned,,,jeticend
jettisoning,,,jeticening
jetton,,,jeten
jetty,,,jeti
jeu,,,jiu
jeux,,,jiu
Jevons,,,Jevons
jew,,,ju
jewel,,,jual
jeweler,,,jualer
jewelers,,,jualers
jewelfish,,,jualfish
Jewell,,,Jual
jeweller,,jeweler
jewellers,,jewelers
jewellery,,jewelry
jewelry,,,jualri
jewels,,,juals
jewelweed,,,jualweed
Jewess,,,Juess
jewfish,,,juufish
jewfishes,,,juufishes
Jewish,,,Juish
Jewishness,,,Juishness
Jewry,,,Juuri
jews,,,juus
jezebel,,,jesebel
Jezreel,,,Jezreel
Jhansi,,,Jaansi
Jhelum,,,Jailum
jiao,,,jaieo
jib,,,jib
jibber,,,jiber
jibe,,,jyb
jibes,,,jybs
Jicarilla,,,Jike'rila
Jidda,,,Jida
jiff,,,jif
jiffy,,,jifi
jig,,,jig
jigaboo,,,jigabu
jigger,,,jiger
jiggered,,,jigerd
jiggermast,,,jigermast
jiggers,,,jigers
jigging,,,jiging
jiggle,,,jigl
jiggling,,,jigling
jigs,,,jigs
jigsaw,,,jigsaw
jihad,,,ji'haad
jill,,,jil
jillet,,,jilit
Jillian,,,Jilian
jillion,,,jilian
jillions,,,jilians
Jilolo,,,Jy'lolo
jilt,,,jilt
jilted,,,jilted
Jim,,,Jim
Jimenez,,,Hi'menes
jiminy,,,jimini
jimjams,,,jimjams
jimmie,,,jimi
jimmied,,,jimid
jimmy,,,jimi
jimp,,,jimp
jimply,,,jimpli
jimpness,,,jimpness
jimsonweed,,,jimsenweed
jin,,,jin
Jinan,,,Jinen
jingal,,,jinggl
jingle,,,jinggl
jingles,,,jinggels
jingly,,,jingli
jingo,,,jinggo
jingoism,,,jinggoism
jingoistic,,,jinggo'istic
Jinja,,,Jinya
jink,,,jink
jinker,,,jinker
jinks,,,jinx
jinn,,,jin
Jinnah,,,Jina
jinni,,,jini
jinrikisha,,,jinri'keesha
jinx,,,jinx
jipijapa,,,jipi'jaapa
jirga,,,jurga
jitney,,,jitni
jitter,,,jiter
jitterbug,,,jiterbug
jitterbugging,,,jiterbuging
jitters,,,jiters
jittery,,,jiteri
jiva,,,jeeva
Jivaro,,,Ji'varro
jive,,,jyv
jiving,,,jyving
jnana,,,jai'naana
jo,,,jo
Joab,,,Joab
Joachim,,,Joekim
Joan,,,Joan
Joann,,,Joan
Joanna,,,Jo'ana
Joanne,,,Jo'an
joannes,,,jo'anees
Joaquin,,,Joaquin
job,,,job
jobation,,,joa'baition
jobber,,,jober
jobbers,,,jobers
jobbery,,,joberi
jobe,,,joab
jobes,,,joabs
jobholder,,,jobhoalder
jobless,,,jobless
joblessness,,,joblesness
jobs,,,jobs
Jocasta,,,Jocasta
Jocelyn,,,Joaslin
jock,,,jok
jockey,,,joki
jockeying,,,jokiing
jockeys,,,jokees
jocko,,,joco
jocks,,,jox
jockstrap,,,joxtrap
jockteleg,,,joctileg
jocose,,,jocoass
jocosely,,,jocoasli
jocoseness,,,jocoasness
jocosity,,,jo'cociti
jocular,,,jokyuler
jocularity,,,jokyoo'larriti
jocund,,,jocund
jocundity,,,jo'cunditi
jodhpur,,,jodpoor
jodhpurs,,,jodpoors
Jodi,,,Joadi
Jodie,,,Joadi
Jodo,,,Jodo
Jody,,,Joadi
joe,,,jo
Joel,,,Joel
joes,,,joas
joey,,,joi
Joffre,,,Jofer
jog,,,jog
jogged,,,jogd
jogger,,,joger
joggers,,,jogers
jogging,,,joging
joggle,,,jogl
Jogjakarta,,,Jogjacaata
jogs,,,jogs
jogtrot,,,jogtrot
Johann,,,Joahan
Johanna,,,Joa'hana
johannes,,,joahans
Johannesburg,,,Joa'hanisburg
Johannine,,,Joahanyn
Johannisberger,,,Joahanisburger
john,,,jon
Johnathan,,,Jonethen
Johnathon,,,Jonethen
Johnie,,,Joni
johnnie,,,joni
johnny,,,joni
johnnycake,,,jonicaik
johns,,,jons
Johnson,,,Jonsen
Johnsonese,,,Jonsoa'nees
Johnsonian,,,Jon'soanian
Johnston,,,Jonsten
Johore,,,Joahoar
join,,,join
joinder,,,joinder
joined,,,joind
joiner,,,joiner
joinery,,,joineri
joining,,,joining
joins,,,joins
joint,,,joint
jointed,,,jointed
jointer,,,jointer
jointless,,,jointless
jointly,,,jointli
jointness,,,jointness
jointress,,,jointress
joints,,,joints
jointure,,,joincher
jointworm,,,jointwurm
Joinville,,,Joinvil
joist,,,joist
joists,,,joists
jojoba,,,jo'joaba
joke,,,joak
joked,,,joact
joker,,,joaker
jokers,,,joakers
jokes,,,joax
jokester,,,joaxter
joking,,,joaking
jokingly,,,joakingli
Jokjakarta,,,Jocjacaata
jole,,,joal
Jolene,,,Joaleen
joles,,,joals
jolley,,,joli
jollier,,,jolier
jollies,,,jolees
jolliest,,,joliast
jollification,,,jolifi'caition
jollify,,,jolify
jollity,,,joliti
jolly,,,joli
jollying,,,joliing
Jolo,,,Joalo
Jolson,,,Jolsen
jolt,,,joalt
jolted,,,joalted
jolting,,,joalting
jolts,,,joalts
jolty,,,joalti
jomo,,,joamo
Jon,,,Jon
Jonah,,,Joana
Jonas,,,Joanes
Jonathan,,,Jonethen
Jonathon,,,Jonethen
jones,,,joans
joneses,,,joanzes
jongleur,,,jongglur
Joni,,,Joani
jonquil,,,jonquil
Jonson,,,Jonsen
Jonsonian,,,Jon'soanian
jook,,,jook
Joplin,,,Joplin
Joppa,,,Jopa
Jordaens,,,Joardeens
jordan,,,joarden
Jordanian,,,Joar'dainian
Jordanians,,,Joar'dainians
jordans,,,joardens
Jorge,,,Hoarheh
jornada,,,joar'naada
jorum,,,joarum
Jos,,,Joss
Jose,,,Ho'ceh
Josef,,,Joacef
Josefina,,,Joasfyna
joseph,,,joacef
Josephine,,,Joasfeen
josephs,,,joacifs
Josephson,,,Joasfsen
Josephus,,,Joasfuss
josh,,,josh
Joshua,,,Joshua
Josiah,,,Joas'saia
Josie,,,Joaci
joskin,,,joskin
joss,,,joss
josser,,,jocer
jostle,,,jossl
jostled,,,joceld
jostling,,,josling
Josue,,,Jossue
jot,,,jot
jota,,,joata
jotted,,,jotid
jotter,,,joter
jotting,,,joting
jotun,,,jotun
Jotunheim,,,Jotunhym
jouk,,,jouk
joule,,,juul
joules,,,juuls
jounce,,,jounss
journal,,,jurnel
journalese,,,jurna'lees
journalise,,journalize
journalism,,,jurnelism
journalist,,,jurnelist
journalistic,,,jurna'listic
journalistically,,,jurna'listicli
journalists,,,jurnelists
journalize,,,jurnelys
journals,,,jurnels
journey,,,jurni
journeyed,,,jurneed
journeying,,,jurniing
journeyman,,,jurneeman
journeys,,,jurnees
journeywork,,,jurneewurk
joust,,,joust
jousting,,,jousting
Jove,,,Joav
jovial,,,joavial
joviality,,,joavi'aliti
jovially,,,joaviali
jovialness,,,joavialness
Jovian,,,Joavian
jow,,,jow
Jowett,,,Jowit
jowl,,,joul
jowls,,,jouls
jowly,,,jouli
joy,,,joy
joyance,,,joyenss
Joyce,,,Joiss
Joycean,,,Joician
joyful,,,joifl
joyfully,,,joifuli
joying,,,joying
joyless,,,joiless
Joyner,,,Joiner
joyous,,,joyuss
joyride,,,joiryd
joyriding,,,joiryding
joys,,,jois
joystick,,,joistic
Juan,,,Waan
Juana,,,Waana
Juanita,,,Jua'neeta
Juarez,,,Wares
juba,,,juuba
Jubal,,,Juubl
jubate,,,juubait
jubbah,,,juba
Jubbulpore,,,Jubulpoar
jube,,,juub
jubilant,,,juubilent
jubilantly,,,juubilentli
jubilate,,,juubilait
jubilation,,,juubi'laition
jubilee,,,juubili
Judaea,,,Juu'dia
Judaean,,Judean
Judah,,,Juuda
Judaic,,,Juu'dayic
Judaica,,,Juu'daica
Judaise,,Judaize
Judaism,,,Juudiism
judaist,,,juudiist
Judaize,,,Juudais
judas,,,juudes
Judd,,,Jud
Jude,,,Juud
Judea,,,Juudia
Judean,,,Juudian
judge,,,juj
judged,,,jujd
judgement,,judgment
judgemental,,judgmental
judgements,,judgments
judges,,,jujes
judgeship,,,jujship
judgeships,,,jujships
judging,,,jujing
judgmatic,,,juj'matic
judgment,,,jujment
judgmental,,,juj'mentl
judgments,,,jujments
judicable,,,juudikebl
judicative,,,juudiketiv
judicator,,,juudicaiter
judicatory,,,juudiketeri
judicature,,,juudecaicher
judicial,,,juu'dishel
judicially,,,juu'disheli
judiciary,,,juu'disheri
judicious,,,juu'dishuss
judiciously,,,juu'dishusli
judiciousness,,,juu'dishusness
Judith,,,Juudith
judo,,,juudo
judoka,,,juu'doaca
Judson,,,Judsen
judy,,,juudi
jug,,,jug
jugal,,,juugl
jugate,,,juugait
Jugendstil,,,Juujendstil
jugful,,,jugfl
juggernaut,,,jugernaut
juggins,,,jugins
juggle,,,jugl
juggled,,,jugeld
juggler,,,jugler
jugglers,,,juglers
jugglery,,,jugleri
juggles,,,jugels
juggling,,,jugling
jughead,,,jughed
juglandaceous,,,juglan'daishuss
Jugoslav,,,Juugeslav
jugs,,,jugs
jugular,,,juugyuler
jugulate,,,juugyulait
jugum,,,juugum
Jugurtha,,,Juu'gurtha
juice,,,juuss
juicer,,,juucer
juices,,,juuces
juicier,,,juucier
juiciest,,,juuciast
juicy,,,juuci
jujitsu,,,juu'jitsu
juju,,,juuju
jujube,,,juujuub
juke,,,juuk
jukebox,,,juucbox
jukeboxes,,,juucboxis
jukes,,,juux
julep,,,juulep
juleps,,,juuleps
Jules,,,Juuls
Julia,,,Juulia
Julian,,,Juulian
Juliana,,,Juuli'ana
Julianne,,,Juulian
Julie,,,Juuli
julienne,,,juuli'en
Juliet,,,Juuliet
Juliette,,,Juuli'et
Julio,,,Juulio
Julius,,,Juuliass
Julliard,,,Julierd
Jullundur,,,Julunder
July,,,Juu'ly
jumbal,,,jumbl
jumble,,,jumbl
jumbled,,,jumbeld
jumbo,,,jumbo
jumbos,,,jumboas
jumbuck,,,jumbuk
Jumna,,,Jumna
jump,,,jump
jumped,,,jumpt
jumper,,,jumper
jumpers,,,jumpers
jumping,,,jumping
jumpmaster,,,jumpmaster
jumps,,,jumps
jumpstart,,,jumpstart
jumpsuit,,,jumpsuut
jumpsuits,,,jumpsuuts
jumpy,,,jumpi
jun,,,jun
juncaceous,,,jun'caishuss
junco,,,junco
junction,,,junction
juncture,,,junccher
junctures,,,juncchers
June,,,Jiun
Juneau,,,Juuno
Juneberry,,,Juunberri
Junes,,,Jiuns
Juneteenth,,,Juuniteenth
Jung,,,Jung
Jungfrau,,,Jungfrow
Jungian,,,Junggian
jungle,,,junggl
junglegym,,,junggeljim
jungles,,,junggels
jungly,,,jungli
junior,,,juunyer
juniorate,,,juuneerait
juniority,,,juuni'orriti
juniors,,,juunyers
juniper,,,juuniper
junipers,,,juunipers
Junius,,,Juuniass
junk,,,junk
junked,,,junct
junker,,,junker
junkerdom,,,junkerdem
junkerism,,,junkerism
junkers,,,junkers
junket,,,junkit
junketeer,,,junki'teer
junkets,,,junkits
junkie,,,junki
junkier,,,junkier
junkies,,,junkees
junkiest,,,junkiast
junking,,,junking
junkman,,,juncman
junkyard,,,junkyard
junkyards,,,junkyards
Juno,,,Juuno
Junoesque,,,Juunoask
junta,,,junta
jupe,,,juup
Jupiter,,,Juupiter
jupon,,,jupon
jura,,,jiura
jural,,,jiurel
jurally,,,jiureli
jurant,,,jiurent
jurassic,,,jiu'racic
jurat,,,jiurat
juratory,,,jiureteri
jure,,,jiur
jurel,,,jiurel
juridical,,,joo'ridicl
juries,,,jooris
jurisconsult,,,joorisconsult
jurisdiction,,,jooris'diction
jurisdictional,,,jooris'dicshenel
jurisdictions,,,jooris'dicshens
jurisprudence,,,joorispruudenss
jurisprudent,,,joorispruudent
jurisprudential,,,joorispruu'denshel
jurist,,,joorist
juristic,,,joo'ristic
jurists,,,joorists
juror,,,jiurer
jurors,,,jiurers
Jurua,,,Jiuriua
jury,,,joori
juryman,,,joorimen
juryrigged,,,jooririgd
jurywoman,,,jooriwoomen
jus,,,juss
jussive,,,juciv
just,,,just
juster,,,juster
justice,,,justiss
justicer,,,justicer
justices,,,justices
justiceship,,,justisship
justiciable,,,justishiabl
justiciar,,,justisher
justiciary,,,jus'tisheri
justifiable,,,justifaiebl
justifiableness,,,justifaiebelness
justifiably,,,justifaiebli
justification,,,justifi'caition
justifications,,,justifi'caishens
justificative,,,justifiketiv
justificatory,,,justifiketeri
justified,,,justifyd
justifier,,,justifyr
justifies,,,justifys
justify,,,justify
justifying,,,justifaiing
Justin,,,Justin
Justine,,,Justeen
Justinian,,,Jus'tinian
Justitia,,,Justisha
justle,,,jussl
justly,,,justli
justness,,,justness
jut,,,jut
jute,,,juut
Jutland,,,Jutlend
juts,,,juts
jutting,,,juting
jutty,,,juti
juve,,,juuv
juvenal,,,juuvenel
Juvenalian,,,Juuve'nailian
juvenescence,,,juuve'necenss
juvenescent,,,juuve'necent
juvenile,,,juuvenyl
juvenilely,,,juuveneli
juvenileness,,,juuvenylness
juveniles,,,juuvenyls
juvenilia,,,juuve'nilia
juvenility,,,juuve'niliti
juxtapose,,,juxtapoas
juxtaposed,,,juxtapoazd
juxtaposes,,,juxtapoases
juxtaposing,,,juxtapoasing
juxtaposition,,,juxtapo'sition
juxtapositions,,,juxtapo'sishens
Jylland,,,Jilend
jynx,,,jinx
ka,,,caa
Kaaba,,,Caaba
kaas,,,caas
kab,,,cab
kabala,,,cabela
kabbalah,,,cabala
kaboom,,,cabuum
kabuki,,,ca'buuki
Kabul,,,Cabul
Kabyle,,,Cabyl
kacha,,,cacha
kachcha,,,cachcha
kachina,,,cachyna
kaddish,,,cadish
kaddishim,,,cadishim
kade,,,caid
kadi,,,cadi
Kadiyevka,,,Cadiyevca
Kaduna,,,Cajuuna
kaed,,ked
kaffeeklatsch,,,cafeeclach
kaffir,,,cafer
kaffiyeh,,,cafiyay
Kaffraria,,,Ca'frairia
kafir,,,cafer
Kafiristan,,,Ca'firistan
Kafka,,,Cafca
Kafkaesque,,,Cafkeesk
kaftan,,caftan
kaftans,,caftans
Kagera,,,Cajera
kago,,,caigo
Kagoshima,,,Cago'sheema
kagu,,,caagu
Kahn,,,Caan
kahuna,,,ca'huuna
kai,,,ky
kaiak,,,caiak
kaif,,,kyf
Kaifeng,,,Ky'feng
kail,,,cail
kailyard,,,cailyard
kaim,,,caim
kain,,,cain
kainite,,,kynyt
Kairouan,,,Kyrwaan
kaiser,,,kyser
kaiserdom,,,kyserdem
kaiserism,,,kyserism
kaisership,,,kysership
Kaiserslautern,,,Kyserslautern
kajeput,,,cajeput
kaka,,,caaca
kakapo,,,ca'caapo
kakemono,,,caake'mono
kaki,,,caki
kakistocracy,,,caki'stocreci
Kalahari,,,Cala'hari
kalam,,,calam
Kalamazoo,,,Calamesu
kalanchoe,,,calancho
kalashnikov,,,calashnicov
Kalat,,,Calat
kalathos,,,ca'lathoas
Kalb,,,Calb
kale,,,cail
kaleidoscope,,,ca'lydescoap
kaleidoscopic,,,kelydo'scopic
kalendar,,,calender
kalends,,,calends
Kalevala,,,Cail'vaala
kaleyard,,,cailyard
Kalgan,,,Calgen
Kalgoorlie,,,Calgoorli
kali,,,cali
kalian,,,cailian
Kalidasa,,,Cali'daassa
kalif,,,calif
kalifate,,,califait
Kalimantan,,,Calimanten
Kalinin,,,Cailenin
Kaliningrad,,,Ca'lininggrad
kalinite,,,calenyt
kaliph,,,calif
kalis,,,caliss
Kalispel,,,Calispel
Kalisz,,,Caliss
Kalmar,,,Calmer
Kalmarian,,,Calmairien
kalmia,,,calmia
Kalmuck,,,Calmuk
kalong,,,ca'long
kalpa,,,calpa
kalpak,,,calpak
kalpis,,,calpiss
kalsomine,,,calsemyn
Kaluga,,,Caluuga
kam,,,cam
kama,,,caama
kamacite,,,camacyt
Kamakura,,,Cama'kiura
kamala,,,ca'maala
Kamasutra,,,Camassutra
Kamchatka,,,Camchatca
kame,,,caim
Kamehameha,,,Caimhaimha
kamelaukion,,,cai'mlaukian
kamerad,,,camerad
Kamerun,,,Camerun
kami,,,caami
kamikaze,,,cami'caasi
Kampala,,,Cam'paala
kampong,,,campong
Kampuchea,,,Campuchia
kamseen,,,camseen
Kan,,,Can
kana,,,caana
kanae,,kane
Kanak,,,Canak
kanaka,,,ca'naca
Kanara,,,Ca'nara
Kanarese,,,Canairss
